VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, TANGENT0.x, TANGENT0.y, TANGENT0.z, TANGENT0.w, TANGENT1.x, TANGENT1.y, TANGENT1.z, TANGENT1.w, BLENDWEIGHT.x, BLENDWEIGHT.y, BLENDWEIGHT.z, BLENDWEIGHT.w, BLENDINDICES.x, BLENDINDICES.y, BLENDINDICES.z, BLENDINDICES.w, COLOR0.x, COLOR0.y, COLOR0.z, COLOR0.w, COLOR1.x, COLOR1.y, COLOR1.z, COLOR1.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y
0, 0,  0.21631,  0.20117,  0.05518,  0.85728,  0.8436,  0.43597,  0.00,  0.15347,  0.86022,  0.50244,  1.00,  0.15347,  0.86022,  0.50244,  1.00,  1.00,  0.00,  0.00,  0.00, 2, 0, 0, 0,  0.83922,  0.83922,  0.00,  1.00,  1.00,  0.00,  1.00,  0.00,  1.89047,  0.89455,  2.41431,  0.49109,  1.00,  0.00
1, 1,  0.229,  0.21533,  0.19873,  0.85728,  0.8436,  0.43597,  0.00,  0.15445,  0.86119,  0.50733,  1.00,  0.15445,  0.86119,  0.50733,  1.00,  1.00,  0.00,  0.00,  0.00, 2, 0, 0, 0,  0.83922,  0.83922,  0.00,  1.00,  1.00,  0.00,  1.00,  0.00,  1.89047,  0.75594,  2.41431,  0.39081,  1.00,  0.00
2, 2,  0.28271,  0.13965,  0.19922,  0.9433,  0.72239,  0.43597,  0.00,  0.2737,  0.94526,  0.48289,  1.00,  0.2737,  0.94526,  0.48387,  1.00,  1.00,  0.00,  0.00,  0.00, 2, 0, 0, 0,  0.84314,  0.84314,  0.00,  1.00,  1.00,  0.00,  1.00,  0.00,  1.7803,  0.75592,  2.35138,  0.39081,  1.00,  0.00
3, 2,  0.28271,  0.13965,  0.19922,  0.9433,  0.72239,  0.43597,  0.00,  0.2737,  0.94526,  0.48289,  1.00,  0.2737,  0.94526,  0.48387,  1.00,  1.00,  0.00,  0.00,  0.00, 2, 0, 0, 0,  0.84314,  0.84314,  0.00,  1.00,  1.00,  0.00,  1.00,  0.00,  1.7803,  0.75592,  2.35138,  0.39081,  1.00,  0.00
4, 3,  0.26709,  0.12988,  0.05713,  0.9433,  0.72239,  0.43597,  0.00,  0.2737,  0.94526,  0.47801,  1.00,  0.2737,  0.94526,  0.47898,  1.00,  1.00,  0.00,  0.00,  0.00, 2, 0, 0, 0,  0.84314,  0.84314,  0.00,  1.00,  1.00,  0.00,  1.00,  0.00,  1.7803,  0.89474,  2.35138,  0.49109,  1.00,  0.00
5, 0,  0.21631,  0.20117,  0.05518,  0.85728,  0.8436,  0.43597,  0.00,  0.15347,  0.86022,  0.50244,  1.00,  0.15347,  0.86022,  0.50244,  1.00,  1.00,  0.00,  0.00,  0.00, 2, 0, 0, 0,  0.83922,  0.83922,  0.00,  1.00,  1.00,  0.00,  1.00,  0.00,  1.89047,  0.89455,  2.41431,  0.49109,  1.00,  0.00
6, 4, -0.0249,  0.30908,  0.19873,  0.45357,  0.99413,  0.43793,  0.00,  0.00196,  0.45259,  0.50049,  1.00,  0.00196,  0.45357,  0.50538,  1.00,  1.00,  0.00,  0.00,  0.00, 2, 0, 0, 0,  0.83922,  0.83922,  0.00392,  1.00,  1.00,  0.00,  1.00,  0.00,  2.22452,  0.75659,  2.5997,  0.39081,  1.00,  0.00
7, 5,  0.06787,  0.3042,  0.19873,  0.60117,  0.98631,  0.43597,  0.00,  0.01075,  0.59922,  0.4741,  1.00,  0.01075,  0.60117,  0.48974,  1.00,  1.00,  0.00,  0.00,  0.00, 2, 0, 0, 0,  0.84314,  0.84314,  0.00392,  1.00,  1.00,  0.00,  1.00,  0.00,  2.11221,  0.75938,  2.53842,  0.39081,  1.00,  0.00
8, 6,  0.06494,  0.28516,  0.05176,  0.60117,  0.98631,  0.43597,  0.00,  0.01075,  0.6002,  0.48192,  1.00,  0.01075,  0.60117,  0.48583,  1.00,  1.00,  0.00,  0.00,  0.00, 2, 0, 0, 0,  0.84314,  0.84314,  0.00392,  1.00,  1.00,  0.00,  1.00,  0.00,  2.11221,  0.89882,  2.53842,  0.49109,  1.00,  0.00
9, 6,  0.06494,  0.28516,  0.05176,  0.60117,  0.98631,  0.43597,  0.00,  0.01075,  0.6002,  0.48192,  1.00,  0.01075,  0.60117,  0.48583,  1.00,  1.00,  0.00,  0.00,  0.00, 2, 0, 0, 0,  0.84314,  0.84314,  0.00392,  1.00,  1.00,  0.00,  1.00,  0.00,  2.11221,  0.89882,  2.53842,  0.49109,  1.00,  0.00
